Region,Specialisms,ServiceTypes,Count
East,Caring for adults over 65 yrs,Clinic,1
East,Caring for adults over 65 yrs,Homecare agencies,22
East,Caring for adults over 65 yrs,Homecare agencies|Supported housing,1
East,Caring for adults over 65 yrs,Homecare agencies|Supported housing|Supported living,1
East,Caring for adults over 65 yrs,Homecare agencies|Supported living,1
East,Caring for adults over 65 yrs,Nursing homes,11
East,Caring for adults over 65 yrs,Residential homes,74
East,Caring for adults over 65 yrs,Supported housing,2
East,Caring for adults over 65 yrs|Physical disabilities,Homecare agencies,2
East,Caring for adults over 65 yrs|Physical disabilities,Nursing homes,5
East,Caring for adults over 65 yrs|Physical disabilities,Nursing homes|Residential homes,1
East,Caring for adults over 65 yrs|Substance misuse problems,Supported housing,1
East,Caring for adults under 65 yrs,Ambulances,1
East,Caring for adults under 65 yrs,Clinic,3
East,Caring for adults under 65 yrs,Clinic|Diagnosis/screening,2
East,Caring for adults under 65 yrs,Diagnosis/screening,6
East,Caring for adults under 65 yrs,Doctors/GPs,2
East,Caring for adults under 65 yrs,Doctors/GPs|Doctors/GPs,3
East,Caring for adults under 65 yrs,Homecare agencies,1
East,Caring for adults under 65 yrs,Homecare agencies|Supported living,2
East,Caring for adults under 65 yrs,Hospital,1
East,Caring for adults under 65 yrs,Mobile doctors,1
East,Caring for adults under 65 yrs,Prison healthcare,5
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Ambulances,3
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Clinic,36
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Clinic|Community services - Healthcare|Doctors/GPs|Doctors/GPs,1
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Clinic|Doctors/GPs,1
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Clinic|Doctors/GPs|Diagnosis/screening|Urgent care centres,1
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Clinic|Doctors/GPs|Doctors/GPs,2
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Community services - Healthcare,7
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Community services - Healthcare|Doctors/GPs|Doctors/GPs,1
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Community services - Healthcare|Long-term conditions|Hospitals - Mental health/capacity|Rehabilitation (illness/injury)|Urgent care centres,1
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Community services - Healthcare|Rehabilitation (illness/injury),3
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Dentist,4
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Diagnosis/screening,18
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Diagnosis/screening|Doctors/GPs,1
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Doctors/GPs,10
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Doctors/GPs|Diagnosis/screening|Doctors/GPs,2
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Doctors/GPs|Doctors/GPs,50
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Doctors/GPs|Doctors/GPs|Mobile doctors,2
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Doctors/GPs|Doctors/GPs|Urgent care centres,1
